rank,avg_EventLatency,avg_ProcessingLatency,var_EventLatency,var_ProcessingLatency,TotalMessages,iteration,kafka,spark,killed
44,1.8860865941794185,1.2594580697105604,0.18159666812720246,0.15035647506539537,20000000,1,3,3,spark
45,1.758113998622361,1.2511679767738637,0.09859245045375233,0.1226250933773046,20000000,1,3,3,spark
46,1.811284837843096,1.268260473818921,0.14640812898901573,0.12835873670683323,20000000,1,3,3,spark
47,1.711592847447491,1.1926690626810532,0.17454392037948602,0.12460332626756886,20000000,1,3,3,spark
48,1.8730938989885093,1.2706270030043847,0.1942710149471868,0.12720801054418232,20000000,1,3,3,spark
49,1.8786828739310213,1.1690197736366967,0.15929772283854607,0.10264100737389717,20000000,1,3,3,spark
50,1.8456548075874994,1.2202171045965062,0.12720937539635413,0.10848857316784928,20000000,1,3,3,spark
51,1.7998741733565546,1.2491066635346917,0.13857851939753388,0.14635218919447215,20000000,1,3,3,spark
52,1.8533302972025474,1.1774447923758875,0.1347636451367163,0.09996057456584943,20000000,1,3,3,spark
53,1.9688641945390137,1.2375676138977556,0.11872537390526751,0.11560024142912513,20000000,1,3,3,spark
54,1.820503523350686,1.2128476690913355,0.16512680453886283,0.1217077403208115,20000000,1,3,3,spark
55,1.763512594121807,1.2701768367410455,0.12023946093770409,0.13287252103621805,20000000,1,3,3,spark
56,1.770513388239136,1.2173244165514792,0.1288797358247074,0.14011664145607747,20000000,1,3,3,spark
57,1.8260147812711585,1.2404660853567888,0.14339128889204528,0.12303330875764208,20000000,1,3,3,spark
58,1.7820150834489292,1.2021296188561847,0.15565772509827652,0.10628345792063291,20000000,1,3,3,spark
59,1.8760204543749293,1.2071139097912205,0.15565173102850335,0.11664790514408369,20000000,1,3,3,spark
60,1.9788814921288869,1.256868492914438,0.1411852975038363,0.11910169277214336,20000000,1,3,3,spark
61,1.8940039106206552,1.17192047775988,0.17316305320626127,0.10272585747964831,20000000,1,3,3,spark
62,1.932256517836168,1.268195852112788,0.10209051434447461,0.126551709778732,20000000,1,3,3,spark
63,1.9853093081991087,1.2201062988608768,0.14121925871903884,0.1333938466246097,20000000,1,3,3,spark
64,1.7997062308726244,1.2028399420210119,0.1432337783603317,0.1179041797998007,20000000,1,3,3,spark
65,1.8768177080934165,1.256975938091759,0.132241720516097,0.12282102816596603,20000000,1,3,3,spark
66,1.7418485460661013,1.184211842842844,0.1289922181766347,0.10694690323790715,20000000,1,3,3,spark
67,1.8534640117310048,1.2069159774683345,0.15864589151285582,0.11017851187627571,20000000,1,3,3,spark
68,2.0138586636417695,1.2652782863369425,0.10810328192956101,0.13214993443098458,20000000,1,3,3,spark
